BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
8044208,Monograph,Language material ; Text,Volume,GB9113214,,9780241121993,"Frank, Katherine",,person,,"Frank, Katherine [person]",Emily Brontë : a chainless soul,,,,England,Hamilton ; London,,1990,,"303 pages, illustrations, 23 cm",823.809,YC.1992.a.22,"Brontë, Emily, 1818-1848--Biography ; Women authors, English--19th century--Biography ; English fiction",,English,,
8079081,Monograph,Language material ; Text,Volume,GB9749563,,9780486292564,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Dover thrift editions,,England,"London ; Mineola, New York",Constable ; Dover,1996,,"viii, 248 pages, 21 cm",823.8,H.97/1791,England--Social life and customs--19th century--Fiction ; Man-woman relationships--England--Yorkshire--Fiction ; Yorkshire (England)--Fiction,,English,"'This Dover edition, first published 1996, contains the unabridged text of the first edition of Wuthering Heights: a novel, published in 1847 by Thomas Cautley Newby in London' _ t.p. verso",
8079138,Monograph,Language material ; Text,Volume,GB9857282,,9780486295299,"Brontë, Emily",1818-1848,person,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",Best poems of the Brontë sisters,,Dover thrift editions,,England,"London ; Mineola, New York",Constable ; Dover,1997,,"vi, 58 pages, 21 cm",821.808,YK.1998.a.4766,English poetry--19th century ; English poetry--Women authors,,English,,
8092910,Monograph,Language material ; Text,Volume,GB7813746,,9780715812495 ; 9780847661015,"Brontë, Anne",1820-1849,person,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",Poems by the Brontë sisters,,,,England,Wakefield,,1980,,"xii, 165 pages, 2 illustrations, 17 cm",821.808,79/14011 ; X.958/16276,English poetry--19th century ; Poetry in English--1837-1900--Anthologies,,English,"facsimile of: 1st edition London : Aylott and Jones, 1846",
8100624,Monograph,Language material ; Text,Volume,GBA385499,,9780826214362,"Lamonica, Drew",1973-,person,,"Lamonica, Drew, 1973- [person]",'We are three sisters' : self and family in the writing of the Brontës,,,,England,Columbia ; London,University of Missouri Press,2003,,"xi, 260 pages, 25 cm",823.809,YC.2003.a.20448,"Brontë, Emily, 1818-1848--Criticism and interpretation ; Sisters in literature ; Autobiography in literature ; Family in literature ; Women and literature--England--Yorkshire--History--19th century ; Self in literature ; Brontë family ; Yorkshire (England)--In literature ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation",,English,,
8117758,Monograph,Language material ; Text,Volume,GB8917994,,9780850978575,"Mahoney, John",1940 February 23-,person,,"Mahoney, John, 1940 February 23- [person] ; Brontë, Emily, 1818-1848 [person]","Wuthering heights, Emily Brontë : guide",Wuthering heights,Letts study aids,,England,London,Letts,1989,,"80 pages, illustrations, 30 cm",823.8,YC.1990.b.2785,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,,
8189888,Monograph,Language material ; Text,Volume,,,9789630733793,"Taxner-Tóth, Ernő",,person,,"Taxner-Tóth, Ernő [person]",A Brontë nővérek világa,,Írók világa,,Hungary,Budapest,Európa,1984,,"268 pages, illustrations, 19 cm",,YA.1988.a.19192,"Authors, English--19th century--Biography ; Brontë, Anne, 1820-1849 ; Yorkshire (England)--Biography ; Brontë family ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily, 1818-1848",,Hungarian,,
8189931,Monograph,Language material ; Text,Volume,,,9789630747080,"Brontë, Emily",1818-1848,person,,"Kiss, Zsuzsa [person] ; Brontë, Emily, 1818-1848 [person]",Emily Brontë versei,Poems. Selections. Hungarian,Lyra Mundi,,Hungary,Budapest,Európa Könyvkiadó,1988,,166 pages,,YA.1993.a.6983,Poetry in English--1745-1837--Translations,,Hungarian,,
8232268,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Cime Tempestose : Romanzo,,,,,,Garzanti,1947,22nd edition,,,X14/2517,,,Italian,,
8232270,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,author,"Hatfield, C. W. (Charles William), editor [person] ; Brontë, Emily, 1818-1848, author [person]",The complete poems of Emily Jane Brontë,Poems,,,,,Oxford University Press,1952,,,821.8,821.8 *741*,,,English,,
